upload_id,transcriptions
394,"The ambiguity surrounding this virus creates amxiety, confusion and irritation. When will schools open? Will there be a vaccine? Could a second wave happen next school year? I think schools and the government have to be as clear as possible and inform better. Communication builds comfort."
395,"This quarantine is so difficult for teenagers, who should be learning how to be independent young adults but instead are stuck at home with families. What I have not seen addressed is how especially difficult it is for only children. They are all alone with their parents. No other kids to interact with or break the monotony. A school guidance counselor suggested virtual hangouts, but my teen finds that a very poor substitute for spending time with friends. I would appreciate it if someone would address how being an only child increases the isolation of these difficult days."
397,"Trying to work with focus while feeling guilty that my daughter isn’t being mentally stimulated enough, without schooling."
406,I’m pretty bored. And I miss my friends. And I’m nervous for what lies ahead and how this virus will effect my future.
410,I fear that we will not be able to enjoy a normal summer due to the corona virus. I wish I was able to go outside and hang out with friends without having to worry about a global pandemic. It’s also frustrating that teachers have given more schoolwork than usual because we’re at home. Whats been helping me get through this is the fact that i’m able to facetime my friends and use my phone to contact the people i’m closest with.
412,I miss my family. I’m the only one living in the US in my family and everyone is on the other side of the globe. We follow the news of each other’s countries and not being apart makes us worry about each other. We remedy with constant face time. I look forward to seeing my family when this is over.
413,"I spent the whole week tutoring and teaching via Zoom and never talked about the virus with my students. I allow them to be in that bubble away from news updates. 

Of course I think about whether that is the right strategy or not. 

The students seemed ok and motivated. They never asked any questions or shared any thoughts about the pandemic. 

Again, may be this crisis us easier on them than us. Or may be we express emotions and concerns better than they do."
415,"I am afraid that the country is irrevocably changed and things will never return to “normal”
And I might not want some things to return to the way they were (we can do better), but I do want them to return to a feeling of normal. 
I’m worried about losing my job or having to let my employees go. I’m worried that this will create a life for my son that I never imagined or wanted and I can’t give him the life I planned for him."
417,This has changed my life forever. In negative and positive ways. I have a 18 month old daughter that I'm so worried about. She doesn't have other children around which I'm worried will affect her in the long run. My husband and I moved to my mother and step dad house when she was born due to financial problems. My whole family is scared and cramped. Luckily all three work. However I'm alone with my daughter all day with no break. I am bipolar so the fear and anxiety is double the average person. Love has kept me strong throughout this pandemic. It has also strengthened my family in many ways. I just wonder what world will my daughter grow up in?
422,"I'm an expat working in Malaysia. Now I can't go back to my country and don't know when I can. My boyfriend can't visit me here also. I can go out theoretically but if I do go, I have to go through 14 days quarantine in Thailand. It's impossible for me to do so. 14 days are greater than my annual leave quota. I miss him so bad."
423,"I need a break. My husband works out of town and has only come for 5 days the last two months. I get a break when I go out for groceries or other occasional chores. I also work from home. It feels like I am constantly doing, doing, go, go, go. I just want alone time to just be, no duties, just be."
425,"For me during COVID there were two opposite reactions:
1.fear for friends and family that something can happen with them and I won't be able to help, as much as I could;
2.frustration, that I could help only with some data analysis, rather than with a real physical help;
3.at the same time, i finally had time to work on research projects and articles I could not work on before confinement, i managed to continue and advance some projects with far-away collaborators, since ""far"" became a bit closer."
430,I am grateful that my family is healthy. I am thankful for this time with all my children. They are young and growing fast so I’m slowing down to enjoy them as they are. More than anything I feel anxious. Some days I feel like I’m holding my breath all day just waiting for bad news. I am tired. More tired than I’ve ever been in my life. I am angry that this is happening and will continue to happen because of decisions that are outside of my control. I am sad that my kids are missing school and friends and cousins. My twin babies are changing each day and no one gets to see them. I am resistant to this “new normal” while also following all the guidelines religiously. I feel confused and scared.
433,"I am worried about the school kids not going outside at all. It's been 2 months now without school and many studemts here in New York City and suburbs have not been out once in 2 months. That to me is extreme. Many of them cramped up in small apartments. What are the emotional, physical and spiritual effects of such lack of outdoor activities and socializing. Was it even worth it to close the schools? Some countries never did. What damage has been done?"
435,"I’m a woman, aged 63 (almost 64) and still working full time because of the change in the pension age. I was hospitalised with Swine flu in 2009 and it had a big effect on my health. I was diagnosed with asthma in 2010. My lungs have never fully recovered from the severe case of Swine flu. 
I normally work nine to five and there’s have been times over the past two years when I’ve felt very tired and weary. But it wasn’t until this pandemic hit that I actually felt old for the first time in my life. I’ll admit that I went into a blind spin panic when I realised how bad this pandemic was at the end of March. Stress being one of the triggers for my asthma, the feeling of dread and tightness in my chest caused my asthma to peak. I remembered how ill i was in 2009 and the feeling that I just wanted to die and due to my weakened lungs I couldn’t shake the fear. I rang my doctor (not wanting to visit the surgery) and she advised I double up my asthma medication and issued a prescription for extra supplies. My son went to pick it up from the pharmacy the next day, only to discover they couldn’t get supplies of my usual medication. Another call to my doctor and she prescribed an alternative to the medication I had been on since 2010 and my initial asthma diagnosis. A few days later my wheezing had eased but I found I was suffering from severe reflux at nights. So bad it almost choked me on a few occasions, thus adding to my considerable stress. Another call to my doctor, who said the reflux was caused by stress so I was given acid suppressants and signed off work until everything could settle down a bit. I work for a train operating company so I am considered a key worker. 
In summary, I have found the last six weeks to be the most stressful weeks of my life. I’ve always considered myself to be as fit and able as my younger colleagues but this crisis has made me realise I need to take better care of myself and not put my job first. This virus has reminded me that I am getting old."
436,screen and now I'm going to do a test for Harold let's see if that this transcribes and creates a word cloud cloud cloud cloud cloud test for Harold Harold Harold Harold
436,"It's now 2 months into quarantine. I had a bad anxiety attack last night. It was the first since this has been going on. All the uncertainty of the future hit me suddenly. It's hard to make a routine for the day when I can't even take my kids to the park. They miss playing with other children. It's not the same for my preschooler doing any of his work or seeing his friends through a screen. Online learning isn't something that works for my preschooler. My 2 year old doesn't seem to be affected as much because he doesn't understand what's going on. Hours have been cut at both of my jobs in the ER because it's so slow, so money is becoming a worry. My husband has been able to work his normal business hours and get out of the house more, but who knows if that'll ever change. It's hard to talk with him about my concerns because he deals with things internally, whereas I need to talk with someone, but you can't even have a face to face with a counselor. It's insane to think that living literally stopped this time whereas this never happened before with anything else in my lifetime, from swine flu to even 9-11. Does hiding out and living in fear stop this virus from spreading further? Why couldn't people wash their hands before? Thousands of people die of the flu every year, but why do people still go to work sick and not care then? Did the media and politics really drive us into this? How do we get back into living?"
441,"I'm a single mother of a 13 year old. I am fortunate to still have a full time job, but unfortunate to not be with my son to be with him in this very difficult time. While I'm at work he's alone most of the time (just with our dog which might help him a little bit). His father, my husband, passed away 6 years ago so he's gone through a lot already. His dad's grandmother is 66 and has some health problems so she comes to see him on most days when she can and stays for a while in the afternoon until I get home. I'm grateful to her for that, but knowing that he's not in school and doesn't spend any time with his friends makes him sad even though he doesn't tell me. He's not motivated to get his grades up in school because he knows that he'll get promoted to high school either way. I know that that's true, but I tell him that he still should do his work because high school might be the same way it's being taught now and it would be better if he's used to it. That's when he gets frustrated and starts to cry. (This has happened a few times in the past). I don't know what to do so I stop talking and just try to listen to him. That's all I do. Don't know what else to do."
442,"It has been very challenges for us. In the beginning of March, I have been diagnosed with breast cancer. Cancer diagnosis along is lonely and frustrating, especially if you are under 40 with kids ( I feel I am the youngest one in cancer center) and then COVID-19 happen. My treatment plan got impacted but at least I am getting some treatment and doctors are doing everything to help me. Additionally, my mom's knee replacement surgery got postponed and she is now can only jump on 1 leg... My FIL surgery to reverse colostomy bag after his cancer treatment is post postponed and we cannot see my in laws as we are afraid of COVID. My 5th grader will miss his graduation and misses his friends who will be going to different school next year. My preschooler is very active and I am thankful that we have the backyard. So it is a lot to handle. On top of it, both my hubby and I are working from home now. We do not have private office at home and since we are working for non profit international organization, work load increased. We are lucky enough to stay employed during this time and my employer is very flexible for me to take time off for treatment. We also have big family and good friends. We do zoom meetings with cousins, friends, etc regularly. We also do virtual zoomba classes and  exercise bike. We spend a lot of time on our backyard. We are cooking and baking more which is good because I cannot loose weight to continue with my treatments. Our 5th grader became less picky eater and tries everything now. We do family movie nights, gazing the stars nights, backyard clean up party., dance away party and during the day when i do not feel well, we play who takes best care of mommy game. It helps that kids' teachers have meetings with kids so they can feel connected. Our son goes to SKYPE Saturday school for extra activities and our daughter does hip hop classes over zoom. We also"
443,"right so how are we getting through the Kobe crisis well we have each other my wife Sue 23 years my son Mills of 17 going on I'm getting he's a rebellion but not as badly as he was maybe last year and he oddly enough is one of the few surviving is the best because he's used he likes the computer he lives his life there on YouTube and he likes interacting with people these read the protection prophylaxis of the internet anyway so we're okay where were here in New York we could go to our summer home in Massachusetts but without a test we feel like that would be a profit so we're here and and I'm surviving partly through poetry I know that sounds really weird but poetry is saved my life a lot of times WNYC had a contrast contest called what a difference a month makes and so I was assigned that for some of my students I teach in a high needs Public School in Jamaica Queens and I gave that as an optional assignment for my kids to write a poem I'm just talk about how they were feeling and dealing with the Kobe crisis and you own the truth is I'm not okay the the study Sirens outside the house 40,000 dead now they come to me at night and I'm my dreams and my I'm just psychically in some sort of weird place but I guess it that's dramatic and not real and not what other people are living with witches a lot so anyway I did write a poem it did help me and and I know it's a few now it's it's called the row row or what a month a different snakes I used to argue with Elliot and his money line about April being the cruelest month after all don't November and February call for cold consideration but this April this calling by drowning in your own blood April this viral dying alone April this false flattening April uncured and uncurved this invisible droplet murderer this isolation at all costs a dozen eggs killing a nice lady at the grocery store April is skin cracked so be handed masked up month of threats stolen breaths outside with refrigerated trucks out back of ER Josh behind bars in our own Apartments but I love you Dad as you lose your mind from 2000 miles and 6 feet away I know you're sad quarantined in the condo with Mom on lockdown and I too am too low for not seeing you or the Cherry now that's hung with Blossom on the bow another poets creeping in two coat quote three such writers is a literary win but white tents replicate like a virus like spores everyone's afraid to go in stores while my colleagues struggling to breathe empty their own lungs at home with incentive spirometers I'm hurting smile what's not about this April while in my head I'm way too sad to sing instead bring something for Easter from the kitchen to the hallway and in a small way we need celebrate a reborn and he'd the CDC warning us to keep it together by keeping it apart the weather's unnaturally wet and cold I start to rhyme and vein anyway as my bride of old says rain resignedly April showers bring May horse is what we don't say but we do not cry or bow down now to the king of desolation crowning this versus the siren of another her swales past the window of our sliver of Broadway oh so empty now the loneliest of cities just became more lonely somehow because of the corona insta kids be calling it the row row a tiny unseeable wicked witch witch to misquote get colder poet with apologies in my defense a virus that has made all the difference no old-time Roanoke electrical mistakes April what months of different snakes oh yeah that's my phone the row row which was featured on NPR a couple days ago by a really cool reporter named dumb shumita Basu WNYC anyway I just thought I'd share that cuz it does capture a lot of what I'm feeling I can't be with my family in Minnesota my mom and dad are on lockdown in a condo having left their home a 60 years just a couple months ago my dad suddenly having a steep decline in I mean the acceleration in his dementia show"
443,"This is the middle of May. We've all come so far since March. It feels like a marathon. I've never been more glad that I already homeschool my son. I've never missed TJ Maxx so much. I have never wanted a law passed to require face masks for EVERYONE in public until now. I have never been so grateful that my family isn't sick. I've never been more okay with Atlanta traffic than I was today. It's so much better than driving through a deserted city. I've never wished for politics to play less of a role in general safety as I do now. I've never been more thankful for my extremely close proximity to nature. I've never been more glad that I moved far away from a city, to a place with bad Wifi. I've never been so happy about making as many memories as possible because they've kept me sane these past few weeks. I've never understood ""take it one day at a time"" more than I do now. I don't think this event will ever fade from my memory."
444,"My child's teachers are doing what they can to do online instruction, but even with an introverted indifferent student like my son, the need for human presence, for resonance with other bodies as part of learning, is irreplaceable. I hope the Child Mind Institute can take leadership in articulating the harms posed by the fetish for instructional technology prompted by billionaire faux-philanthropists to our neurodiverse kids and to all children. My quirky kid is happy to sit in his room. But it's bad for him and traumatic for other kids-- and we'll be paying the price for years."
446,"I went on maternity leave in January, gave birth at the beginning of Feb. and struggled to breast feed. Once the pandemic hit and everybody panic bought, I was terrified I would not be able to get formula for my child. This created an added layer of stress to my breastfeeding and pumping attempts. Overall, I’m Still only able to provide her half her food, but the stress was overwhelming and Terrifying to wonder if your newborn will have food and you can do nothing on your own to give it to her. Beyond all this, she was not able to meet any family. She might be a year old before it’s safe to travel or meet anyone and my family will miss out on her infant months. Furthermore, there is an even greater stress of work. My whole work environment has changed and I have no idea what I will be going back to. I haven’t been to a store since Feb. everybody is wearing masks and I cry thinking this is “normal”. Even further still, out daycare was closed because they didn’t have enough essential workers to keep the doors open. How will I manage going back to work without child care? Is it even safe to put my child in child care facilities? The stress, depression, anxiety are all overwhelming. Words can’t adequately describe the pain, the panic, and the angst I feel daily."
447,"Directly before the Covid crisis I earned my Master's Degree in Clinical Mental Health Counseling. I finished my internships and licensure exam, while I was pregnant with our second child. Our first child is a boy who is seven, eight this summer. At around the middle of my pregnancy with our now daughter, I became very ill and basically quarantined to our couch. I was unable to begin working at the hospital I completed my second internship. So before any of this even happened I was confined, sick and restless. On February 5th, 2020, I gave birth to a healthy, beautiful baby girl... right before all hell broke loose. We made it home and had one or two visitors before we decided to completely isolate ourselves from the world. The isolation orders had not yet been set, but we told everyone we were concerned enough about Corona and the common flu to not have anyone over to meet our newest family member. Then the actual orders were given and things everywhere began closing. My husband was told to work from home for the foreseeable future, and I was catapulted into the role of home school teacher with a newborn in my arms. I was sleep deprived. I didn't physically or mentally feel like myself. I hadn't been out of the house in an amount of time I couldn't even calculate, and all of a sudden we were trapped with a dog, a cat, close neighbors, a second grader with advanced work, a bread winner who had just turned his only office into a bright coral nursery, a frazzled second time mom, and a newborn. It was chaos. The worst, saddest part, we were some of the luckiest people we knew. Many were forced to still be on the front lines. Friends lost their jobs or were laid off. Hair dresser friends were told not to work and were not given unemployment. Others had even more children to home school. Some had both parents still working and no one to provide childcare. Everyone was scared. Everyone was uncertain and angry out of fear. I utilized my mom as an impromptu phone therapist for myself and was a therapist for many friends. Did I forget to mention that just as my daughter was born my student loans became due? Yeah, and we didn't technically qualify for any type of interest free deferment because we weren't directly impacted by Covid as none of us had it and my husband, who was the sole earner before this happened, was still able to work from home. So I had to put my massive student loan debt into hardship forbearance and I am still accumulating crazy interest. I cannot yet go back to work as I was going to work in a hospital and I am terrified of bringing Covid home to my young children due simply to my work locale. I also have no one able to watch out son, or, more importantly, home school him on the 437 websites he's required to log into every single day, help on zoom meetings he should be attending, or check hard copy papers that make me hate common core mathematics. Everything and everyone has been in a constant state of stress. Our son was a jolly baby who rarely cried and smiled constantly. Our daughter seems more fussy and quicker to be displeased as if she's absorbing this terrible time she was born into. I hate that. Worse than anything I hate the impact this will have on my children. I have discussed things profusely with my son (as, again, I am in mental health) and he's doing wonderfully with it all. I'm very proud of him. But I know he's watching too much television or kids YouTube when I need to get a feeding in for the baby. I know he's not getting outside enough as I can't lay down my infant or she refuses to sleep and having a friend come help out for an hour here and there just isn't an option. I believe he'll be fine through all of this. I worry more about our daughter. Even though she's over three months now and technically out of the ""high risk"" stage for infants, she is still very young and susceptible in my mind. What happens if my son is allowed to go back to school in the fall and he brings EVERYTHING home to her? What kind of world will she grow up in? Will MY debt crush her? Will I ever be able to work and send her to be watched by others without fear? Will she ever get to go shopping in a shopping mall or go physically see a movie in a theater? Will this have irreparable effects on her mental health and overall happiness? Is she now wired for stress and negativity? (Despite my ability to teach her how to fight them.) I have no idea the answers. Will things get worse? Will my children even want to bring their own children into this world if it is worse? This brings up the question of security of our genealogical line? Will we have grandchildren? Will all of society have imploded by then, considering how well we did with a simple toilet paper shortage? The spiraling questions are endless. The spiraling questions my future clients will be asking themselves for the next couple decades will be even more.
I commend Dr. Koplewics for gathering anecdotal research during this time. If nothing else, you served as a mock CBT journaling assignment for anyone willing to participate.
Thank you, and best of luck,
TMHFisher, MEd  LPC"
449,"I worry that the excessive screen time (particularly video games) will have a lasting negative impact on my 7 year old. He is obsessed with playing and despite being really active and creative the first couple of months, he has now been spending upwards of 7 hours playing each day now. I work from home, have a 20 month old sand my husband is a nurse living elsewhere for the past few months while treating vivid patients - I don’t have the strength to limit the games but I worry if I don’t it will be an unbreakable Gabor once things return to normal."
453,"Please, please, when this has all come to pass, and school resumes, please don't only focus on ""catching your children up"" academically. Their mental health needs may be extraordinary and each child will be unique. Encourage play and be playful with your children and students, even the ""big kids."" - from a Licensed Professional Counselor, Child & Adolescent Therapist (working with children ages 3 and older)"
456,"I am worried about my daughter, who is changing schools, and starting high school in the fall. She has an autoimmune disorder as well as psychological problems that are contributing to extreme anxiety right now for both of us. Will she be safe if the schools open in the fall?
We are very lucky that we left our home in CT in early March and have been living in a relatively unaffected area of Florida. There’s few people but lots of wildlife and blue skies. I feel very fortunate to wake up to such beauty everyday."
461,hi so my name is Jane and I have a son who's a first-year student at Elon University he's 18 years old and unfortunately he's home because of the virus and where I thought he would really be very upset because he was so incredibly involved with the school lots of friends a girlfriend he also did a lot of extracurricular activities as well as he has a job on campus for he is a tour guide but surprisingly he's been very dedicated to his studies he does his online courses he even goes the extra yard and learns additional things for school he's applying for a scholarship at the University and he still surprisingly getting paid by the university and doing virtual tours and so I think he's very pleased about that and he's actually surprisinglyreally being very productive and very positive during the day he does his school work and then in the evening we have dinner together as a family the two of us and we talked about our day because during the day we're sort of like two ships passing in the night I'm very busy with my illustration work and we doing to do list it'll knock your nose off and in the evening we get together and we talked about our day and that's been you know very nice she regularly runs now every day and then at the end of our dinner we sort of wrap it up and I'll get to my own things and walk the dog in that sort of thing and he gets on the phone with all of his Elon college friends and I can hear him just laughing and having a great time for hours on end in a while I'm going to bed in the evening so I would saysurprisingly he's doing very well he does not see an end of this in anytime which is unfortunate I think he does have a lot of remorse as to his first year of college and all the parties and dances that we're going to happen this spring and sporting events and just all of these wonderful opportunities that are now lost but you know he is making the best of it and in fact per his request through taking a drive into Manhattan and we're going to the rockaways and we're going all over just to see how desolate area is and unlike some of his friends were I've heard that kind of snuck out of the house to go do things with their friends he's been exceptional at Social distancing and taking it all very seriouslyand that's it he also has his regular therapy sessions with his therapist but via I guess phone conversation so that's every other week cuz there's not a lot happening and so he's keeping up with his mental health and yeah I just I just really hope he and his friends and all these kids can get back to school in the fall I think we're adults like myself I think we can pretty much cope and manage very well I think it's a real great Interruption and young people's lives and yeah I guess that's it always is pretty well and making the best of a bad situation isn't it thanks
461,"I'm very sad for my children.  They are losing a lot of school and social experiences.  I would rather be safe than rush into a return to life.  But, I am so depressed about this crisis."
462,"I am frustrated by the lack of concern of others. I avoid people and wear a mask in public. As I see others having parties and not wearing masks, I feel angry at the selfishness of others. I am also worried about school starting in the fall. I don’t want my kids to go to school but I have to work, so I have no choice. Thankfully, I have been able to get paid while staying home. I don’t know what I would have done if I had to keep working."
465,good morning I have a couple of things that I'm a little frustrated with the grown up situation that way and right now I have two girls that I was supposed to graduate one from high school and one from 8th grade and I really frustrates me that they don't get to experience that you know something that you know others have especially my one from high school she works so hard Junior High all the way up high school great grades and she doesn't get a prom and it just frustrates me right now to see how hurt and something that she was looking so forward for all my fears about to sting instead of them that means simply going outside and and after the food shop to my children and catching it and bring it home for today man it's just it's a it's a cool cool thing that's happening right now my hopes is that this thing will be over really soon and Life to go back to as it is you know cuz the kids playing outside and homeschool just almost to a real normal you know I know it's not going to go right away to the to the way it used to be but sometime in the near future child just said it will then and we can go on with our lives what's been helping me get through this crisis is spin out I am incredibly critically thankful that you know me and my children are we were close but we can't even close so what doing things that we didn't do you know before this crisis or actually we're doing things more often now than we did when we was in this crisis I mean from my myself and my own for children that live with me we would have won some money movie night at we would sit and watch a movie together but this is happening more often which is bringing us closed so we're playing games with talkin you know it's it's it's it's really show me a lot you know not to take that showed me not to take ratchet don't take life for granted and don't take the outside for granted and don't take. Don't take anything for granted and calling people don't take it you know be thankful tell your loved ones you love them you know even don't let some more problems turn into you smart I think that's about it you know thank you for letting me record this message for you guys
465,"This time has been full of ups and downs.  Parents and children alike are disrupted from any sense of normalcy, distanced from loved ones and in our case, even in a new home away from NYC.  While we are past the initial overwhelming changes, days are still full of more questions than answers: when will we be asked to go back to the office, will it be safe, will I have child care, what will I do with my kids this summer, how will they react with what changes are coming.  It requires a degree of mental resilience and flexibility that most people don’t have.  So as time progresses and we do our best to live a new normal, feelings of being overwhelmed creep in often for kids and parents and materialize in various ways - frustration over division of labor in the home and how to manage it all plus homeschooling, tech problems, lack of exercise and fresh air, shorter fuses etc.  it’s a just a bit hard.  Parts of wonderful- more time to just be with our immediate family, dinners together every night, a slower weekend pace just to name a few."
