Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
tall,crisis_parentcaregiver_baseline_form,,text,How tall is your child? ,,,number,,,,,,,,,,
measurementheight,crisis_parentcaregiver_baseline_form,,radio,Measurement:,"1, Inches (in) | 2, Centimeters (cm)",,,,,,,,,,,,
weight,crisis_parentcaregiver_baseline_form,,text,How much does your child weigh? ,,,number,,,,,,,,,,
measurementweight,crisis_parentcaregiver_baseline_form,,radio,Measurement:,"1, Pounds (lbs) | 2, Kilograms (kg)",,,,,,,,,,,,
healthconditions,crisis_parentcaregiver_baseline_form,,checkbox,Has a health or educational professional ever told you that your child had any of the following health conditions (check all that apply)? ,"1, Allergies | 2, Asthma or other lung problems | 3, Heart problems or hypertension | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs | 15, Posttraumatic Stress Disorder (PTSD) | 16, Attention Deficit Hyperactivity Disorder (ADHD) | 17, Intellectual disability | 18, Autism Spectrum Disorder | 19, Learning Disorder | 20, Other",,,,,,,,,,,,
otherhealth,crisis_parentcaregiver_baseline_form,,text,Please specify:,,,,,,,[healthconditions(20)] = '1',,,,,,
school,crisis_parentcaregiver_baseline_form,,checkbox,Has your child been enrolled in school or college for the current academic year (2020-2021)?,"1, Not in school | 2, Elementary school | 3, Junior high or Middle school | 4, High school | 5, College/Vocational school | 6, Graduate school",,,,,,,y,,,,,
schoolbegin,crisis_parentcaregiver_baseline_form,,radio,How did your child's school year begin?,"1, In-person classes only | 2, Virtual/online learning only | 3, Combination of in-person and online learning",,,,,,[school(2)] = '1' or [school(3)] = '1' or [school(4)] = '1' or [school(5)] = '1' or [school(6)] = '1',,,,,,
schoolcurrent,crisis_parentcaregiver_baseline_form,,radio,How does your child currently attend school?,"1, In-person classes only | 2, Virtual/online learning only | 3, Combination of in-person and online learning",,,,,,[school(2)] = '1' or [school(3)] = '1' or [school(4)] = '1' or [school(5)] = '1' or [school(6)] = '1',,,,,,
schooldevice,crisis_parentcaregiver_baseline_form,,checkbox,What kind of device does your child use for virtual/online learning (check all that apply)?,"1, Computer (e.g., desktop, laptop, Chromebook) | 2, Tablet (e.g., iPad) | 3, Smartphone | 4, Other kind of device | 5, My child doesn't have access to a device for virtual/online learning",,,,,,[schoolbegin] = '2' or [schoolbegin] = '3' or [schoolcurrent] = '2' or [schoolcurrent] = '3',,,,,,
schooldevice_other,crisis_parentcaregiver_baseline_form,,text,Other kind of device (please specify):,,,,,,,[schooldevice(4)] = '1',,,,,,
schooldeviceaccess,crisis_parentcaregiver_baseline_form,,radio,How often is your child able to access this device when they need it for for classes or schoolwork?,"1, Always | 2, Often | 3, Sometimes | 4, Rarely | 5, Never",,,,,,[schooldevice(1)] = '1' or [schooldevice(2)] = '1' or [schooldevice(3)] = '1' or [schooldevice(4)] = '1',,,,,,
schoolinternet,crisis_parentcaregiver_baseline_form,,yesno,Does your child have internet access at home?,,,,,,,[schoolbegin] = '2' or [schoolbegin] = '3' or [schoolcurrent] = '2' or [schoolcurrent] = '3',,,,,,
schoolinternetreliable,crisis_parentcaregiver_baseline_form,,radio,How reliable is the internet connection your child uses for virtual/online school?,"1, Very reliable | 2, Somewhat reliable | 3, Somewhat unreliable | 4, Very unreliable",,,,,,[schoolbegin] = '2' or [schoolbegin] = '3' or [schoolcurrent] = '2' or [schoolcurrent] = '3',,,,,,
schoolsatisfied,crisis_parentcaregiver_baseline_form,,radio,"How satisfied is your child with the way they currently attend school (e.g., in-person, virtual/online, both)?","1, Very satisfied | 2, Satisfied | 3, Neutral | 4, Unsatisfied | 5, Very unsatisfied",,,,,,[school(2)] = '1' or [school(3)] = '1' or [school(4)] = '1' or [school(5)] = '1' or [school(6)] = '1',,,,,,
schoolpreference,crisis_parentcaregiver_baseline_form,,radio,"If your child could choose, how would they prefer to attend school?","1, In-person classes only | 2, Virtual/online learning only | 3, Combination of in-person and online learning",,,,,,[school(2)] = '1' or [school(3)] = '1' or [school(4)] = '1' or [school(5)] = '1' or [school(6)] = '1',,,,,,
location,crisis_parentcaregiver_baseline_form,,radio,Which best describes the area in which your child lives?,"1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
parenteducation,crisis_parentcaregiver_baseline_form,,radio,What is the highest level of education YOU completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree (e.g., MA, MS, MBA, PhD, EdD, MD, DDS, JD, DVM)",,,,,,,,,,,,
secondparenteducation,crisis_parentcaregiver_baseline_form,,radio,"What is the highest level of education that your child's other main parent/caregiver completed? If there is more than one other parent/caregiver, please think about the caregiver who spends the most time with your child.","1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree (e.g., MA, MS, MBA, PhD, EdD, MD, DDS, JD, DVM) | 8, No second parent/caregiver",,,,,,,,,,,,
changesliving,crisis_parentcaregiver_baseline_form,,yesno,Did any changes to your child's living situation occur because of COVID-19 since the fall of 2020?,,,,,,,,y,,,,,
changesliving_2,crisis_parentcaregiver_baseline_form,,checkbox,Check all that apply:,"1, There was a change in the people my child lives with | 2, My child had to move",,,,,,[changesliving]='1',,,,,,
working,crisis_parentcaregiver_baseline_form,,checkbox,Are YOU currently working or in school? (check all that apply),"1, Working full-time for pay | 2, Working part-time for pay | 3, Volunteer work | 4, On leave | 5, Laid off or lost a job | 6, Unemployed and looking for a job | 7, Unemployed and <u>not</u> looking for a job | 8, Retired | 9, Staying at home/homemaker | 10, Disabled | 11, Enrolled in school/college/university",,,,,,,,,,,,
householdnumber,crisis_parentcaregiver_baseline_form,,text,How many people currently live in your child's home (<u>excluding</u> your child)? ,,,number,,,,,,,,,,
householdcomp,crisis_parentcaregiver_baseline_form,,checkbox,Please specify their relationships to your child (check all that apply):,"1, One parent | 2, Two parents | 3, Grandparent(s) | 4, Siblings | 5, Other children | 6, Other relatives | 7, Unrelated person",,,,,,,,,,,,
grandparents,crisis_parentcaregiver_baseline_form,,text,Number of grandparents living in your home:,,,,,,,[householdcomp(3)]='1',,,,,,
siblings,crisis_parentcaregiver_baseline_form,,text,Number of siblings living in your home:,,,,,,,[householdcomp(4)]='1',,,,,,
otherchildren,crisis_parentcaregiver_baseline_form,,text,Number of other children living in your home:,,,,,,,[householdcomp(5)]='1',,,,,,
otherrelatives,crisis_parentcaregiver_baseline_form,,text,Number of other relatives living in your home:,,,,,,,[householdcomp(6)]='1',,,,,,
unrelatedpeople,crisis_parentcaregiver_baseline_form,,text,Number of other unrelated people living in your home:,,,,,,,[householdcomp(7)]='1',,,,,,
essentialworker,crisis_parentcaregiver_baseline_form,,yesno,"Is anyone in your child's household an ESSENTIAL WORKER (e.g., healthcare worker, first responder, delivery worker, store worker, security, building maintenance)? ",,,,,,,,,,,,,
roomsinhouse,crisis_parentcaregiver_baseline_form,,text,How many rooms (<u>not</u> including bathrooms) are in your child's home?  ,,,number,,,,,,,,,,
insurance,crisis_parentcaregiver_baseline_form,,radio,Is your child covered by health insurance?,"1, Yes, military | 2, Yes, employer-sponsored | 3, Yes, individual | 4, Yes, Medicare | 5, Yes, Medicaid or CHIP | 6, Yes, other | 7, No",,,,,,,y,,,,,
exposed,crisis_parentcaregiver_baseline_form, ,checkbox,Has your child been exposed to someone suspected of having COVID-19? (check all that apply),"1, Yes, someone who tested positive for COVID-19 | 2, Yes, someone diagnosed with COVID-19, but who was not tested | 3, Yes, someone showing symptoms of COVID-19, but not diagnosed or tested | 4, No, not to my knowledge",,,,,,,,,,,,
suspectedinfected,crisis_parentcaregiver_baseline_form,,yesno,Has your child been suspected of having COVID-19?,,,,,,,,,,,,,
covidtest,crisis_parentcaregiver_baseline_form,,radio,Has your child been tested for COVID-19?,"1, Yes, the test came back positive for COVID-19 | 2, Yes, the test came back negative for COVID-19 | 3, Yes, but I do not know the result of the test | 4, No, my child has not been tested for COVID-19",,,,,,,,,,,,
coviddx,crisis_parentcaregiver_baseline_form,,yesno,Has your child been diagnosed with COVID-19 by a health professional?,,,,,,,,y,,,,,
symptoms,crisis_parentcaregiver_baseline_form,,checkbox,Has your child had any of the following symptoms of COVID-19 since the pandemic began? (check all that apply),"1, Fever | 2, Cough | 3, Muscle pains | 4, Headache | 5, Chills | 6, Runny nose | 7, Shortness of breath | 8, Sore throat | 9, Fatigue | 10, Loss of taste or smell | 11, Eye infection | 12, Other | 13, None of the above",,,,,,,,,,,,
othersymptoms,crisis_parentcaregiver_baseline_form,,text,Other:,,,,,,,[symptoms(12)] = '1',,,,,,
diagnosedfamily,crisis_parentcaregiver_baseline_form,,checkbox,Has anyone in your child's family or household been diagnosed with or tested positive for COVID-19? (check all that apply),"1, Yes, a family member who lives with my child | 2, Yes, a family member who does not live with my child | 3, Yes, a member of my household who is not related to my child | 4, No",,,,,,,,,,,,
diagnosedfamilytime,crisis_parentcaregiver_baseline_form,,checkbox,When did this occur? ,"1, In the past month | 2, Fall or Winter of 2020/2021 | 3, Spring or Summer of 2020",,,,,,[diagnosedfamily(1)]=1 OR [diagnosedfamily(2)]=1 OR [diagnosedfamily(3)]=1,,,,,,
impact,crisis_parentcaregiver_baseline_form,,checkbox,Have any of the following happened to your child's family members because of COVID-19? (check all that apply) ,"1, Fallen ill physically | 2, Hospitalized | 3, Self-quarantine with symptoms | 4, Self-quarantine without symptoms | 5, Lost or been laid off from job | 6, Reduced ability to earn money | 7, Passed away | 8, None of the above",,,,,,,,,,,,
vaccinelikelychild,crisis_parentcaregiver_baseline_form,,radio,"When a COVID-19 vaccine becomes available to your child, how likely is it that they will have one?","1, Very unlikely | 2, Somewhat unlikely | 3, Neutral | 4, Somewhat likely | 5, Very likely",,,,,,,y,,,,,
vaccinelikelywhychild,crisis_parentcaregiver_baseline_form,,notes,"We are interested in learning from your experience.  In the space provided, please describe in your own words why you chose this answer.",,,,,,,,,,,,,
vaccinelikelyparent,crisis_parentcaregiver_baseline_form,,radio,"When a COVID-19 vaccine becomes available to YOU, how likely is it that you will have one?","1, Very unlikely | 2, Somewhat unlikely | 3, Neutral | 4, Somewhat likely | 5, Very likely",,,,,,,y,,,,,
vaccinelikelywhyparent,crisis_parentcaregiver_baseline_form,,notes,"We are interested in learning from your experience.  In the space provided, please describe in your own words why you chose this answer.",,,,,,,,,,,,,
vaccinationchild,crisis_parentcaregiver_baseline_form,,radio,Has your child been vaccinated against COVID-19?,"1, Yes, they have | 2, No, but they have a vaccine appointment scheduled | 3, No, they want a vaccine but can't get one | 4, No, they want a vaccine but haven't tried to get one | 5, No, they do not want to get a vaccine",,,,,,,y,,,,,
vaccinewhynotchild,crisis_parentcaregiver_baseline_form,,notes,Why not?,,,,,,,[vaccinationchild]='4' or [vaccinationchild]='5',,,,,,
vaccinationdatechild,crisis_parentcaregiver_baseline_form,,text,"When was your child vaccinated (If your child was vaccinated more than once, please list the most recent time)?",,,date_mdy,,,,[vaccinationchild]='1',,,,,,
vaccinetypechild,crisis_parentcaregiver_baseline_form,,dropdown,Which vaccine did your child receive?,"1, AstraZeneca/Oxford | 2, Johnson & Johnson | 3, Moderna | 4, Novavax | 5, Pfizer/BioNTech | 6, Other | 7, Unknown",,,,,,[vaccinationchild]='1',,,,,,
vaccinetype_other_child,crisis_parentcaregiver_baseline_form,,text,Other vaccine:,,,,,,,[vaccinetypechild] = '6',,,,,,
vaccinationparent,crisis_parentcaregiver_baseline_form,,radio,Have YOU been vaccinated against COVID-19?,"1, Yes, I have | 2, No, but I have a vaccine appointment scheduled | 3, No, I want a vaccine but can't get one | 4, No, I want a vaccine but haven't tried to get one | 5, No, I do not want to get a vaccine",,,,,,,y,,,,,
vaccinewhynotparent,crisis_parentcaregiver_baseline_form,,notes,Why not?,,,,,,,[vaccinationparent]='4' or [vaccinationparent]='5',,,,,,
vaccinationdateparent,crisis_parentcaregiver_baseline_form,,text,"When were you vaccinated (If you were vaccinated more than once, please list the most recent time)?",,,date_mdy,,,,[vaccinationparent]='1',,,,,,
vaccinetypeparent,crisis_parentcaregiver_baseline_form,,dropdown,Which vaccine did you receive?,"1, AstraZeneca/Oxford | 2, Johnson & Johnson | 3, Moderna | 4, Novavax | 5, Pfizer/BioNTech | 6, Other | 7, Unknown",,,,,,[vaccinationparent]='1',,,,,,
vaccinetype_other_parent,crisis_parentcaregiver_baseline_form,,text,Other vaccine:,,,,,,,[vaccinetypeparent] = '6',,,,,,
familyvaccination,crisis_parentcaregiver_baseline_form,,radio,"Aside from you and your child, have other people in your child's household been vaccinated against COVID-19?","1, Yes, everyone who is eligible for a vaccine has received one | 2, Yes, some people who are eligible for a vaccine have received one | 3, No, nobody else has received one | 4, Not applicable",,,,,,,y,,,,,
disruptedsupports,crisis_parentcaregiver_baseline_form, ,checkbox,Which of the following supports for your child were disrupted due to COVID-19? (check all that apply),"1, Childcare | 2, Resource room | 3, Tutoring | 4, Mentoring programs | 5, After school activity programs | 6, Volunteer programs | 7, Psychotherapy | 8, Psychiatric care | 9, Substance use disorder treatment | 10, Occupational therapy | 11, Physical therapy | 12, Speech/language therapy | 13, Sporting activities | 14, Medical care for chronic illnesses | 15, Other | 16, None of the above",,,,,,,,,,,,
disruptedsupportsother,crisis_parentcaregiver_baseline_form,,text,Other:,,,,,,,[disruptedsupports(15)] = '1',,,,,,
positivechange,crisis_parentcaregiver_baseline_form,,radio,"Has COVID-19 led to any positive changes in your child's life?
","1, None | 2, Only a few | 3, Some",,,,,,,,,,,,
specifypositive,crisis_parentcaregiver_baseline_form,,text,Please specify:,,,,,,,[positivechange] = '2' or [positivechange] = '3',,,,,,
politicalevents,crisis_parentcaregiver_baseline_form,"Aside from the COVID-19 pandemic, during the past year, how much have the following events influenced YOUR sense of health and well-being?",radio,"Political events (e.g., national or local elections)","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
climateevents,crisis_parentcaregiver_baseline_form,,radio,"Climate events (e.g., floods, hurricanes, wildfires)","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
racialinjusticeblm,crisis_parentcaregiver_baseline_form,,radio,Racial injustice and events related to the Black Lives Matter movement,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
antiasianracism,crisis_parentcaregiver_baseline_form,,radio,"Anti-Asian sentiment, statements, and attacks","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
massshootings,crisis_parentcaregiver_baseline_form,,radio,Mass shootings,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '187',,,,othermajorevents,,
brexit,crisis_parentcaregiver_baseline_form,,radio,Brexit,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '186',,,,othermajorevents,,
immigrationissues,crisis_parentcaregiver_baseline_form,,radio,Immigration issues,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
capitolattack,crisis_parentcaregiver_baseline_form,,radio,Attack on the U.S. Capitol in January 2021,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '187',,,,othermajorevents,,
otherevents,crisis_parentcaregiver_baseline_form,,radio,Other,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents,,
othereventdescribe,crisis_parentcaregiver_baseline_form,,text,Other (please describe):,,,,,,,[otherevents] = '2' or [otherevents] = '3' or [otherevents] = '4' or [otherevents] = '5',,,,,,
politicalevents_child,crisis_parentcaregiver_baseline_form,"Aside from the COVID-19 pandemic, during the past year, how much have the following events influenced YOUR CHILD'S sense of health and well-being?",radio,"Political events (e.g., national or local elections)","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
climateevents_child,crisis_parentcaregiver_baseline_form,,radio,"Climate events (e.g., floods, hurricanes, wildfires)","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
racialinjustice_child,crisis_parentcaregiver_baseline_form,,radio,Racial injustice and events related to the Black Lives Matter movement,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
antiasian_child,crisis_parentcaregiver_baseline_form,,radio,"Anti-Asian sentiment, statements, and attacks","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
massshootings_child,crisis_parentcaregiver_baseline_form,,radio,Mass shootings,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '187',,,,othermajorevents_child,,
brexit_child,crisis_parentcaregiver_baseline_form,,radio,Brexit,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '186',,,,othermajorevents_child,,
immigration_child,crisis_parentcaregiver_baseline_form,,radio,Immigration issues,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
capitolattack_child,crisis_parentcaregiver_baseline_form,,radio,Attack on the U.S. Capitol in January 2021,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,[country] = '187',,,,othermajorevents_child,,
other_child,crisis_parentcaregiver_baseline_form,,radio,Other,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,othermajorevents_child,,
othereventsdescribe_child,crisis_parentcaregiver_baseline_form,,text,Other (Please describe):,,,,,,,,,,,,,
pasttwoweeks_parent,crisis_parentcaregiver_baseline_form,PARENT QUESTIONS PAST TWO WEEKS,descriptive,The following questions are about YOUR experiences and behaviors. Please think about the PAST TWO WEEKS. During the PAST TWO WEEKS...,,,,,,,,,,,,,
inpersonconvo_parent,crisis_parentcaregiver_baseline_form,,radio,"...how often have you had in-person conversations with people outside of your household?
","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 6, Every day",,,,,,,,,,,,
timeoutside_parent,crisis_parentcaregiver_baseline_form,,radio,"...how much time have you spent going outside of the home (e.g., going to stores, parks, etc.)?

","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 5, Every day",,,,,,,,,,,,
readingtalking_parent,crisis_parentcaregiver_baseline_form,,radio,...how much are you reading or talking about COVID-19?,"1, Never | 2, Rarely | 3, Occasionally | 4, Often | 5, Most of the time",,,,,,,,,,,,
maskparent,crisis_parentcaregiver_baseline_form,...to what extent have you been taking the following steps to prevent infection or spread of the virus?,radio,Wearing a mask or face covering in public,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
glovesparent,crisis_parentcaregiver_baseline_form,,radio,Wearing gloves in public,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
washinghandsparent,crisis_parentcaregiver_baseline_form,,radio,Washing hands,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
handsanitizerparent,crisis_parentcaregiver_baseline_form,,radio,Using hand sanitizer,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
distanceparent,crisis_parentcaregiver_baseline_form,,radio,Staying at least 6 feet away from others,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
avoidingotherhomes,crisis_parentcaregiver_baseline_form,,radio,Avoiding visits to other people's homes,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
avoidgroupsparent,crisis_parentcaregiver_baseline_form,,radio,Avoiding group in-person activities,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
avoidindoorparent,crisis_parentcaregiver_baseline_form,,radio,"Avoiding indoor public places (e.g., stores) when possible","1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautionsparent,,
covidprecautionswhy,crisis_parentcaregiver_baseline_form,,notes,Why have/haven't you been taking these steps?,,,,,,,,,,,,,
restrictionsstressparent,crisis_parentcaregiver_baseline_form,,radio,...how stressful have the restrictions on leaving home been for you?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
contactschangedparent,crisis_parentcaregiver_baseline_form,,radio,...how has the frequency of your contacts with people outside of your home changed relative to <i>before</i> COVID-19 in your area?,"1, A lot less | 2, A little less | 3, About the same | 4, A little more | 5, A lot more",,,,,,,,,,,,
difficultydistancingparent,crisis_parentcaregiver_baseline_form,,radio,...how much difﬁculty have you had following the recommendations to avoid close contact with people?,"1, None | 2, A little | 3, Moderate | 4, A lot | 5, A great amount",,,,,,,y,,,,,
familychangeparent,crisis_parentcaregiver_baseline_form,,radio,"...how has the quality of the relationships between you and your family members changed? 

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
familychangestressparent,crisis_parentcaregiver_baseline_form,,radio,"...how stressful have these changes in family relationships been for you?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
friendschangeparent,crisis_parentcaregiver_baseline_form,,radio,"...how has the quality of your relationships with your friends changed?
","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
friendchangestressparent,crisis_parentcaregiver_baseline_form,,radio,...how stressful have these changes in social relationships been for you?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
difficultycancellationsparent,crisis_parentcaregiver_baseline_form,,radio,"...how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your life been difficult for you?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
